id;name;description;price;product_size;image;image_content_type;product_category_id
1;repentant scarily however;unbearably underneath;18353.34;XL;../fake-data/blob/hipster.png;image/png;1
2;lightly merit per;curiously oh;8737.87;XXL;../fake-data/blob/hipster.png;image/png;2
3;violently standard formula;quietly quarterly;11842.98;XXL;../fake-data/blob/hipster.png;image/png;3
4;unkempt;ugh serve;13071.38;L;../fake-data/blob/hipster.png;image/png;4
5;fooey;whose a correctly;26552.17;M;../fake-data/blob/hipster.png;image/png;5
6;trouser blank including;reboot;22389.68;M;../fake-data/blob/hipster.png;image/png;6
7;incidentally sizzling medium;verify embed;21487.13;XXL;../fake-data/blob/hipster.png;image/png;7
8;under bleakly;whoever fooey;25623.1;L;../fake-data/blob/hipster.png;image/png;8
9;soybean;yum;16367.73;XXL;../fake-data/blob/hipster.png;image/png;9
10;amid but;unpleasant;24636.03;XXL;../fake-data/blob/hipster.png;image/png;10
