id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2024-11-05T01:28:26;PENDING;3636.93;IDEAL;before;1
2;2024-11-04T03:15:50;COMPLETED;25881.46;CREDIT_CARD;whereas;2
3;2024-11-04T10:17:15;CANCELLED;3918.49;IDEAL;bench;1
4;2024-11-05T00:35:09;CANCELLED;181.89;CREDIT_CARD;reference;1
5;2024-11-04T05:42:04;COMPLETED;27113.68;CREDIT_CARD;like avaricious;2
6;2024-11-04T11:01:13;REFUNDED;20502.24;CREDIT_CARD;dwell;2
7;2024-11-04T05:16:48;PAID;13932.68;CREDIT_CARD;hutch;1
8;2024-11-04T08:31:23;PAID;782.26;IDEAL;modulo;1
9;2024-11-04T22:30:09;PAID;8826.62;IDEAL;volleyball stable uh-huh;1
10;2024-11-04T20:00:43;PAID;14347.06;IDEAL;new who digestive;1
